,Latitude,Longitude,Depth,Magnitude,Distance,Days-till-eruption
328,19.3218,-155.0715,6.99,1.7,25.1538,0.04205300925925926
329,19.3218,-155.0715,6.99,1.7,25.1538,0.04205300925925926
330,19.3655,-155.1895,3.08,1.45,11.9444,0.027617245370370372
331,19.3655,-155.1895,3.08,1.45,11.9444,0.027617245370370372
332,19.381,-155.1442,3.63,1.5,15.6237,0.026927893518518518
333,19.381,-155.1442,3.63,1.5,15.6237,0.026927893518518518
334,19.3747,-155.1487,3.24,1.81,15.3921,0.02015335648148148
335,19.3747,-155.1487,3.24,1.81,15.3921,0.02015335648148148
336,19.3892,-155.1217,4.15,1.8,17.6936,0.01482974537037037
337,19.3892,-155.1217,4.15,1.8,17.6936,0.01482974537037037
338,19.3698,-155.1715,3.24,1.53,13.3855,0.014124305555555555
339,19.3698,-155.1715,3.24,1.53,13.3855,0.014124305555555555
340,19.387,-155.1627,2.88,1.14,13.5738,0.011753935185185185
341,19.387,-155.1627,2.88,1.14,13.5738,0.011753935185185185
342,19.3718,-155.1568,3.98,1.64,14.7112,0.005237731481481482
343,19.3718,-155.1568,3.98,1.64,14.7112,0.005237731481481482
344,19.3145,-155.2587,8.74,1.93,12.2087,0.0027733796296296295
345,19.3145,-155.2587,8.74,1.93,12.2087,0.0027733796296296295
346,19.3658,-155.1772,3.23,1.32,13.0503,0.0
347,19.3658,-155.1772,3.23,1.32,13.0503,0.0
348,19.3737,-155.1782,3.62,1.99,12.5653,0.0
349,19.3737,-155.1782,3.62,1.99,12.5653,0.0
350,19.3785,-155.1497,3.45,1.51,15.1561,0.0
351,19.3785,-155.1497,3.45,1.51,15.1561,0.0
352,19.371,-155.1497,3.73,1.5,15.4368,0.0
353,19.371,-155.1497,3.73,1.5,15.4368,0.0
354,19.3745,-155.1387,2.72,1.63,16.3913,0.0
355,19.3745,-155.1387,2.72,1.63,16.3913,0.0
356,19.379,-155.1322,4.09,1.62,16.8943,0.0
357,19.379,-155.1322,4.09,1.62,16.8943,0.0
358,19.3665,-155.1515,3.75,1.76,15.4503,0.0
359,19.3665,-155.1515,3.75,1.76,15.4503,0.0
360,19.3668,-155.1812,4.08,1.6,12.6281,0.0
361,19.3668,-155.1812,4.08,1.6,12.6281,0.0
362,19.3715,-155.1808,3.66,1.49,12.4246,0.0
363,19.3715,-155.1808,3.66,1.49,12.4246,0.0
364,19.3848,-155.1252,3.77,1.65,17.4407,0.0
365,19.3848,-155.1252,3.77,1.65,17.4407,0.0
366,19.3788,-155.1282,4.75,1.8,17.3039,0.0
367,19.3788,-155.1282,4.75,1.8,17.3039,0.0
368,19.3995,-155.2015,0.04,1.36,9.2803,0.0
369,19.3995,-155.2015,0.04,1.36,9.2803,0.0
370,19.3818,-155.1518,3.53,1.5,14.8349,0.0
371,19.3818,-155.1518,3.53,1.5,14.8349,0.0
372,19.3345,-155.154,8.5,1.72,16.9456,0.0
373,19.3345,-155.154,8.5,1.72,16.9456,0.0
374,19.381,-155.1255,4.06,1.9,17.5128,0.0
375,19.381,-155.1255,4.06,1.9,17.5128,0.0
376,19.3862,-155.1263,3.7,1.34,17.2929,0.0
377,19.3862,-155.1263,3.7,1.34,17.2929,0.0
378,19.3832,-155.14700000000002,3.19,1.45,15.2732,0.0
379,19.3832,-155.14700000000002,3.19,1.45,15.2732,0.0
380,19.3848,-155.1205,4.1,1.97,17.9206,0.0
381,19.3848,-155.1205,4.1,1.97,17.9206,0.0
382,19.3638,-155.1802,2.76,1.54,12.8818,0.0
383,19.3638,-155.1802,2.76,1.54,12.8818,0.0
384,19.382,-155.1405,2.72,1.47,15.9655,0.0
385,19.382,-155.1405,2.72,1.47,15.9655,0.0
386,19.3755,-155.1442,3.45,1.99,15.8089,0.0
387,19.3755,-155.1442,3.45,1.99,15.8089,0.0
388,19.3893,-155.1183,3.24,1.45,18.0409,0.0
389,19.3893,-155.1183,3.24,1.45,18.0409,0.0
390,19.3782,-155.14600000000002,3.42,0.9,15.5355,0.0
391,19.3782,-155.14600000000002,3.42,0.9,15.5355,0.0
392,19.3787,-155.1468,3.23,1.63,15.4386,0.0
393,19.3787,-155.1468,3.23,1.63,15.4386,0.0
394,19.3787,-155.1453,3.07,1.64,15.5885,0.0
395,19.3787,-155.1453,3.07,1.64,15.5885,0.0
396,19.3848,-155.126,3.11,1.52,17.359,0.0
397,19.3848,-155.126,3.11,1.52,17.359,0.0
398,19.3717,-155.1667,2.37,1.7,13.7572,0.0
399,19.3717,-155.1667,2.37,1.7,13.7572,0.0
400,19.3907,-155.1162,2.34,1.64,18.2275,0.0
401,19.3907,-155.1162,2.34,1.64,18.2275,0.0
402,19.38,-155.1297,3.55,1.7,17.1164,0.0
403,19.38,-155.1297,3.55,1.7,17.1164,0.0
404,19.3673,-155.1777,2.84,1.3,12.9261,0.0
405,19.3673,-155.1777,2.84,1.3,12.9261,0.0
