,Latitude,Longitude,Depth,Magnitude,Distance,Is-erupting,Is-erupting-tomorrow,Is-erupting-next-week
310,19.3337,-155.181,8.81,1.88,14.7604,False,True,True
311,19.3337,-155.181,8.81,1.88,14.7604,False,True,True
312,19.3603,-155.1892,1.64,0.86,12.2796,False,True,True
313,19.3603,-155.1892,1.64,0.86,12.2796,False,True,True
314,19.3725,-155.1745,2.33,1.52,12.9737,False,True,True
315,19.3725,-155.1745,2.33,1.52,12.9737,False,True,True
316,19.371,-155.1498,3.31,1.52,15.427,False,True,True
317,19.371,-155.1498,3.31,1.52,15.427,False,True,True
318,19.3877,-155.1095,2.71,1.5,18.9809,False,True,True
319,19.3877,-155.1095,2.71,1.5,18.9809,False,True,True
320,19.3077,-155.15,7.3,1.22,19.1122,False,True,True
321,19.3077,-155.15,7.3,1.22,19.1122,False,True,True
322,19.2822,-155.0998,3.47,1.65,24.9786,False,True,True
323,19.2822,-155.0998,3.47,1.65,24.9786,False,True,True
324,19.382,-155.1577,2.47,1.6,14.2378,False,True,True
325,19.382,-155.1577,2.47,1.6,14.2378,False,True,True
326,19.3648,-155.1817,2.95,1.54,12.6901,False,True,True
327,19.3648,-155.1817,2.95,1.54,12.6901,False,True,True
328,19.3218,-155.0715,6.99,1.7,25.1538,False,True,True
329,19.3218,-155.0715,6.99,1.7,25.1538,False,True,True
330,19.3655,-155.1895,3.08,1.45,11.9444,False,True,True
331,19.3655,-155.1895,3.08,1.45,11.9444,False,True,True
332,19.381,-155.1442,3.63,1.5,15.6237,False,True,True
333,19.381,-155.1442,3.63,1.5,15.6237,False,True,True
334,19.3747,-155.1487,3.24,1.81,15.3921,False,True,True
335,19.3747,-155.1487,3.24,1.81,15.3921,False,True,True
336,19.3892,-155.1217,4.15,1.8,17.6936,False,True,True
337,19.3892,-155.1217,4.15,1.8,17.6936,False,True,True
338,19.3698,-155.1715,3.24,1.53,13.3855,False,True,True
339,19.3698,-155.1715,3.24,1.53,13.3855,False,True,True
340,19.387,-155.1627,2.88,1.14,13.5738,False,True,True
341,19.387,-155.1627,2.88,1.14,13.5738,False,True,True
342,19.3718,-155.1568,3.98,1.64,14.7112,False,True,True
343,19.3718,-155.1568,3.98,1.64,14.7112,False,True,True
344,19.3145,-155.2587,8.74,1.93,12.2087,False,True,True
345,19.3145,-155.2587,8.74,1.93,12.2087,False,True,True
346,19.3658,-155.1772,3.23,1.32,13.0503,True,False,False
347,19.3658,-155.1772,3.23,1.32,13.0503,True,False,False
348,19.3737,-155.1782,3.62,1.99,12.5653,True,False,False
349,19.3737,-155.1782,3.62,1.99,12.5653,True,False,False
350,19.3785,-155.1497,3.45,1.51,15.1561,True,False,False
351,19.3785,-155.1497,3.45,1.51,15.1561,True,False,False
352,19.371,-155.1497,3.73,1.5,15.4368,True,False,False
353,19.371,-155.1497,3.73,1.5,15.4368,True,False,False
354,19.3745,-155.1387,2.72,1.63,16.3913,True,False,False
355,19.3745,-155.1387,2.72,1.63,16.3913,True,False,False
356,19.379,-155.1322,4.09,1.62,16.8943,True,False,False
357,19.379,-155.1322,4.09,1.62,16.8943,True,False,False
358,19.3665,-155.1515,3.75,1.76,15.4503,True,False,False
359,19.3665,-155.1515,3.75,1.76,15.4503,True,False,False
360,19.3668,-155.1812,4.08,1.6,12.6281,True,False,False
361,19.3668,-155.1812,4.08,1.6,12.6281,True,False,False
362,19.3715,-155.1808,3.66,1.49,12.4246,True,False,False
363,19.3715,-155.1808,3.66,1.49,12.4246,True,False,False
364,19.3848,-155.1252,3.77,1.65,17.4407,True,False,False
365,19.3848,-155.1252,3.77,1.65,17.4407,True,False,False
366,19.3788,-155.1282,4.75,1.8,17.3039,True,False,False
367,19.3788,-155.1282,4.75,1.8,17.3039,True,False,False
368,19.3995,-155.2015,0.04,1.36,9.2803,True,False,False
369,19.3995,-155.2015,0.04,1.36,9.2803,True,False,False
370,19.3818,-155.1518,3.53,1.5,14.8349,True,False,False
371,19.3818,-155.1518,3.53,1.5,14.8349,True,False,False
372,19.3345,-155.154,8.5,1.72,16.9456,True,False,False
373,19.3345,-155.154,8.5,1.72,16.9456,True,False,False
374,19.381,-155.1255,4.06,1.9,17.5128,True,False,False
375,19.381,-155.1255,4.06,1.9,17.5128,True,False,False
376,19.3862,-155.1263,3.7,1.34,17.2929,True,False,False
377,19.3862,-155.1263,3.7,1.34,17.2929,True,False,False
378,19.3832,-155.14700000000002,3.19,1.45,15.2732,True,False,False
379,19.3832,-155.14700000000002,3.19,1.45,15.2732,True,False,False
380,19.3848,-155.1205,4.1,1.97,17.9206,True,False,False
381,19.3848,-155.1205,4.1,1.97,17.9206,True,False,False
382,19.3638,-155.1802,2.76,1.54,12.8818,True,False,False
383,19.3638,-155.1802,2.76,1.54,12.8818,True,False,False
384,19.382,-155.1405,2.72,1.47,15.9655,True,False,False
385,19.382,-155.1405,2.72,1.47,15.9655,True,False,False
386,19.3755,-155.1442,3.45,1.99,15.8089,True,False,False
387,19.3755,-155.1442,3.45,1.99,15.8089,True,False,False
388,19.3893,-155.1183,3.24,1.45,18.0409,True,False,False
389,19.3893,-155.1183,3.24,1.45,18.0409,True,False,False
390,19.3782,-155.14600000000002,3.42,0.9,15.5355,True,False,False
391,19.3782,-155.14600000000002,3.42,0.9,15.5355,True,False,False
392,19.3787,-155.1468,3.23,1.63,15.4386,True,False,False
393,19.3787,-155.1468,3.23,1.63,15.4386,True,False,False
394,19.3787,-155.1453,3.07,1.64,15.5885,True,False,False
395,19.3787,-155.1453,3.07,1.64,15.5885,True,False,False
396,19.3848,-155.126,3.11,1.52,17.359,True,False,False
397,19.3848,-155.126,3.11,1.52,17.359,True,False,False
398,19.3717,-155.1667,2.37,1.7,13.7572,True,False,False
399,19.3717,-155.1667,2.37,1.7,13.7572,True,False,False
400,19.3907,-155.1162,2.34,1.64,18.2275,True,False,False
401,19.3907,-155.1162,2.34,1.64,18.2275,True,False,False
402,19.38,-155.1297,3.55,1.7,17.1164,True,False,False
403,19.38,-155.1297,3.55,1.7,17.1164,True,False,False
404,19.3673,-155.1777,2.84,1.3,12.9261,True,False,False
405,19.3673,-155.1777,2.84,1.3,12.9261,True,False,False
406,19.3732,-155.132,4.72,1.31,17.104,True,False,False
407,19.3732,-155.132,4.72,1.31,17.104,True,False,False
408,19.3702,-155.1798,2.5,1.1,12.583,True,False,False
409,19.3702,-155.1798,2.5,1.1,12.583,True,False,False
410,19.3768,-155.16299999999998,2.93,1.54,13.9033,True,False,False
411,19.3768,-155.16299999999998,2.93,1.54,13.9033,True,False,False
412,19.3788,-155.1462,3.06,1.63,15.4952,True,False,False
413,19.3788,-155.1462,3.06,1.63,15.4952,True,False,False
414,19.38,-155.1243,3.07,1.99,17.6629,True,False,False
415,19.38,-155.1243,3.07,1.99,17.6629,True,False,False
416,19.3825,-155.1708,2.46,1.3,12.9174,True,False,False
417,19.3825,-155.1708,2.46,1.3,12.9174,True,False,False
418,19.3737,-155.1432,2.98,1.82,15.9732,True,False,False
419,19.3737,-155.1432,2.98,1.82,15.9732,True,False,False
420,19.3767,-155.1473,3.01,1.52,15.4582,True,False,False
421,19.3767,-155.1473,3.01,1.52,15.4582,True,False,False
422,19.3772,-155.1482,2.72,1.51,15.350999999999999,True,False,False
423,19.3772,-155.1482,2.72,1.51,15.350999999999999,True,False,False
424,19.3778,-155.1795,2.71,1.23,12.2557,True,False,False
425,19.3778,-155.1795,2.71,1.23,12.2557,True,False,False
